Qubit,T1(us),T2(us),Single qubit fidelity,Frequency(GHz),CZ fidelity
79,121.729,17.823,0.999,4.104,"79_78: 0.986
79_80: 0.989"
80,118.315,33.465,0.999,4.347,"80_79: 0.989
80_81: 0.984
80_93: 0.951"
81,89.7,29.727,0.999,4.062,"81_80: 0.984
81_82: 0.99"
82,69.311,24.121,0.999,4.34,"82_69: 0.965
82_81: 0.99
82_83: 0.988"
83,92.188,25.738,0.999,4.06,"83_82: 0.988
83_84: 0.991"
84,51.579,14.64,0.999,4.461,"84_83: 0.991
84_85: 0.98
84_97: 0.965"
85,312.554,5.353,0.999,4.118,"85_84: 0.98
85_86: 0.97"
86,72.879,34.638,0.999,4.426,"86_73: 0.941
86_85: 0.97
86_87: 0.987"
87,101.271,30.1,0.999,4.052,"87_86: 0.987
87_88: 0.97"
88,40.542,43.851,0.999,4.423,"88_87: 0.97
88_89: 0.98
88_101: 0.96"
89,133.181,20.699,0.999,4.062,"89_88: 0.98
89_90: 0.98"
90,51.799,38.68,0.999,4.5,"90_77: 0.99
90_89: 0.98"
91,149.035,43.176,0.999,3.791,"91_92: 0.993
91_104: 0"
92,125.201,29.688,0.999,4.339,"92_91: 0.993
92_93: 0.98"
93,51.119,16.149,0.999,3.986,"93_80: 0.951
93_92: 0.98
93_94: 0.98"
94,13.87,28.883,0.992,4.359,"94_93: 0.98
94_95: 0"
95,197.384,15.673,0.999,4.006,"95_94: 0
95_96: 0.987
95_108: 0.94"
96,68.757,55.326,0.999,4.38,"96_95: 0.987
96_97: 0.97"
97,53.861,31.771,0.999,3.981,"97_84: 0.965
97_96: 0.97
97_98: 0.98"
98,63.802,50.411,0.999,4.464,"98_97: 0.98
98_99: 0.97"
99,82.316,31,0.999,3.974,"99_98: 0.97
99_100: 0
99_112: 0.967"
100,73.017,29.718,0.999,4.368,"100_99: 0
100_101: 0.98"
101,102.065,9.806,0.999,4.007,"101_88: 0.96
101_100: 0.98
101_102: 0.975"
