Qubit,T1(us),T2(us),Single qubit fidelity,Frequency(GHz),CZ fidelity
0,69.45,12.319,0.9,4.473,"0_1: 0.96"
1,86.015,7.041,0.995,4.073,"1_0: 0.96
1_2: 0.929"
2,75.448,8.28,0.998,4.407,"2_1: 0.929
2_3: 0.964
2_15: 0.961"
3,58.816,24.881,0.999,3.929,"3_2: 0.964
3_4: 0.978"
4,35.625,23.724,0.998,4.459,"4_3: 0.978
4_5: 0.98"
5,26.141,10.683,0.998,4.052,"5_4: 0.98
5_6: 0.963"
6,40.629,10.087,0.998,4.39,"6_5: 0.963
6_7: 0.99
6_19: 0.96"
7,38.454,5.942,0.999,4.031,"7_6: 0.99
7_8: 0.992"
8,19.076,7.638,0.999,4.411,"8_7: 0.992
8_9: 0.98"
9,64.882,15.499,0.999,4.161,"9_8: 0.98
9_10: 0.986"
10,80.817,30.566,0.996,4.463,"10_9: 0.986
10_11: 0.968
10_23: 1"
11,120.404,14.622,0.998,4.099,"11_10: 0.968
11_12: 0"
12,68.646,18.661,0,4.431,"12_11: 0"
13,93.036,12.289,0.975,3.865,"13_14: 0
13_26: 1"
14,78.201,25.84,0.998,4.363,"14_13: 0
14_15: 0.979"
15,104.205,16,0.999,4.008,"15_2: 0.961
15_14: 0.979
15_16: 0.99"
16,37.728,26.322,0.997,4.319,"16_15: 0.99
16_17: 0.96"
17,74.412,57.043,0.999,3.907,"17_16: 0.96
17_18: 0.955
17_30: 1"
18,49.66,13.252,0.998,4.432,"18_17: 0.955
18_19: 0"
19,46.191,5.469,0.998,3.961,"19_6: 0.96
19_18: 0
19_20: 0"
20,48.425,10.98,0.962,4.332,"20_19: 0
20_21: 0"
21,60.866,6.277,0.999,3.987,"21_20: 0
21_22: 0.968
21_34: 0.99"
22,78.365,40.27,0.999,4.428,"22_21: 0.968
22_23: 0.984"
23,107.354,58.385,0.999,4.061,"23_10: 1
23_22: 0.984
23_24: 0.991"
24,67.095,18.636,0.999,4.362,"24_23: 0.991
24_25: 0.984"
25,132.743,6.451,0.998,3.981,"25_24: 0.984
25_38: 1"
26,59.738,12.256,0.969,4.505,"26_13: 1
26_27: 0.986"
27,104.584,13.916,0.999,4.208,"27_26: 0.986
27_28: 0"
28,67.591,33.73,0.999,4.361,"28_27: 0
28_29: 0.98
28_41: 0"
29,40.451,13.612,0.999,4.072,"29_28: 0.98
29_30: 0.964"
30,92.225,20.043,0.998,4.438,"30_17: 1
30_29: 0.964
30_31: 0.989"
31,66.732,1.688,0.999,4.026,"31_30: 0.989
31_32: 0"
32,49.257,2.799,0.998,4.399,"32_31: 0
32_33: 0.95
32_45: 1"
33,76.676,34.231,0.999,3.983,"33_32: 0.95
33_34: 0.957"
34,31.307,13.069,0.999,4.441,"34_21: 0.99
34_33: 0.957
34_35: 0.97"
35,4.441,60.643,0.996,3.995,"35_34: 0.97
35_36: 0"
36,49.722,23.943,0.999,4.467,"36_35: 0
36_37: 0.92
36_49: 0.97"
37,71.507,6.816,0.999,4.1,"37_36: 0.92
37_38: 0.984"
38,63.846,16.05,0.999,4.478,"38_25: 1
38_37: 0.984"
39,122.704,49.029,0.999,3.944,"39_40: 0.987
39_52: 0.995"
40,69.649,2.824,0.999,4.265,"40_39: 0.987
40_41: 0.99"
41,96.753,32.947,0.999,3.94,"41_28: 0
41_40: 0.99
41_42: 0.989"
42,54.174,11.687,0.999,4.409,"42_41: 0.989
42_43: 0.99"
43,76.733,5.597,0.999,3.962,"43_42: 0.99
43_44: 0.979
43_56: 0.994"
44,71.709,20.31,0.998,4.299,"44_43: 0.979
44_45: 0.959"
45,83.584,47.704,0.999,4.002,"45_32: 1
45_44: 0.959
45_46: 0.99"
46,55.779,43.187,0.996,4.399,"46_45: 0.99
46_47: 0.979"
47,100.337,26.805,0.999,3.982,"47_46: 0.979
47_48: 0.988
47_60: 0.988"
48,51.614,34.867,0.999,4.297,"48_47: 0.988
48_49: 0.986"
49,83.41,42.847,0.999,3.984,"49_36: 0.97
49_48: 0.986
49_50: 0.99"
50,69.107,20.25,0.999,4.399,"50_49: 0.99
50_51: 0.98"
51,26.314,0.355,0.998,3.991,"51_50: 0.98
51_64: 0.97"
52,32.403,58.77,0.999,4.389,"52_39: 0.995
52_53: 0.991"
53,150.095,24.696,0.999,3.958,"53_52: 0.991
53_54: 0.94"
54,104.95,30.412,0.999,4.382,"54_53: 0.94
54_55: 0.987
54_67: 0.997"
55,11.809,21.702,0.985,3.968,"55_54: 0.987
55_56: 0.988"
56,86.845,51.516,0.998,4.294,"56_43: 0.994
56_55: 0.988
56_57: 0.991"
57,40.648,58.835,0.999,4.067,"57_56: 0.991
57_58: 0.989"
58,62.013,8.331,0.999,4.407,"58_57: 0.989
58_59: 0.97
58_71: 0.985"
59,82.45,35.382,0.999,4.134,"59_58: 0.97
59_60: 0.95"
60,67.188,40.287,0.998,4.395,"60_47: 0.988
60_59: 0.95
60_61: 0"
61,84.84,27.845,0.999,4.14,"61_60: 0
61_62: 0.965"
