Qubit,T1(us),T2(us),Single qubit fidelity,Frequency(GHz),CZ fidelity
48,51.614,34.867,0.999,4.297,"48_47: 0.988
48_49: 0.987"
49,83.41,42.847,0.999,3.984,"49_36: 0.976
49_48: 0.987
49_50: 0.991"
50,69.107,20.25,0.999,4.399,"50_49: 0.991
50_51: 0.98"
51,26.314,0.355,0.998,3.991,"51_50: 0.98
51_64: 0"
52,32.403,58.77,0.999,4.389,"52_39: 0.991
52_53: 0.981"
53,150.095,24.696,0.999,3.958,"53_52: 0.981
53_54: 0.988"
54,104.95,30.412,0.999,4.382,"54_53: 0.988
54_55: 0.989
54_67: 0.991"
55,11.809,21.702,0.985,3.968,"55_54: 0.989
55_56: 0"
56,86.845,51.516,0.998,4.294,"56_43: 0.985
56_55: 0
56_57: 0.97"
57,40.648,58.835,0.999,4.067,"57_56: 0.97
57_58: 0.991"
58,62.013,8.331,0.999,4.407,"58_57: 0.991
58_59: 0.989
58_71: 0"
59,82.45,35.382,0.999,4.134,"59_58: 0.989
59_60: 0.979"
60,67.188,40.287,0.998,4.395,"60_47: 0
60_59: 0.979
60_61: 0"
61,84.84,27.845,0.999,4.14,"61_60: 0
61_62: 0.988"
62,72.053,37.787,0.998,4.483,"62_61: 0.988
62_63: 0.991
62_75: 0.985"
63,99.775,34.1,0.999,4.123,"63_62: 0.991
63_64: 0"
64,37.312,21.627,0.999,4.566,"64_51: 0
64_63: 0"
65,100.393,59.081,0.999,3.919,"65_66: 0
65_78: 0.969"
66,0,0.5,0.99,4.377,"66_65: 0
66_67: 0"
67,106.234,24.07,0.999,3.94,"67_54: 0.991
67_66: 0
67_68: 0.99"
68,93.36,22.658,0.999,4.26,"68_67: 0.99
68_69: 0.991"
69,52.21,25.331,0.999,3.978,"69_68: 0.991
69_70: 0.953
69_82: 0"
70,61.364,20.895,0.999,4.478,"70_69: 0.953
70_71: 0.981"
71,100,12.503,0.999,3.941,"71_58: 0
71_70: 0.981
71_72: 0.991"
72,78.065,18.116,0.999,4.38,"72_71: 0.991
72_73: 0.995"
73,76.74,30.748,0.999,3.978,"73_72: 0.995
73_74: 0.974
73_86: 0"
74,43.208,17.258,0.997,4.424,"74_73: 0.974
74_75: 0.98"
75,112.198,52.095,0.999,3.993,"75_62: 0.985
75_74: 0.98
75_76: 0.994"
76,118.289,22.055,0.999,4.326,"76_75: 0.994
76_77: 0.996"
77,38.893,51.258,0.999,4.031,"77_76: 0.996
77_90: 0"
78,75.505,9.815,0.999,4.496,"78_65: 0.969
78_79: 0.988"
79,121.729,17.823,0.999,4.104,"79_78: 0.988
79_80: 0.991"
80,118.315,33.465,0.999,4.347,"80_79: 0.991
80_81: 0.988
80_93: 0.951"
81,89.7,29.727,0.999,4.062,"81_80: 0.988
81_82: 0.991"
82,69.311,24.121,0.999,4.34,"82_69: 0
82_81: 0.991
82_83: 0"
83,92.188,25.738,0.999,4.057,"83_82: 0
83_84: 0"
84,51.579,14.64,0.999,4.461,"84_83: 0
84_85: 0.979
84_97: 0"
85,312.554,5.353,0.999,4.118,"85_84: 0.979
85_86: 0.988"
86,72.879,34.638,0.999,4.426,"86_73: 0
86_85: 0.988
86_87: 0.99"
87,101.271,30.1,0.999,4.052,"87_86: 0.99
87_88: 0.99"
88,40.542,43.851,0.999,4.424,"88_87: 0.99
88_89: 0.992
88_101: 0.988"
89,133.181,20.699,0.999,4.063,"89_88: 0.992
89_90: 0.99"
90,51.799,38.68,0.999,4.501,"90_77: 0
90_89: 0.99"
91,149.035,43.176,0.999,3.791,"91_92: 0
91_104: 0"
92,125.201,29.688,0.999,4.339,"92_91: 0
92_93: 0.977"
93,51.119,16.149,0.999,3.985,"93_80: 0.951
93_92: 0.977
93_94: 0.95"
94,13.87,28.883,0.992,4.359,"94_93: 0.95
94_95: 0.969"
95,197.384,15.673,0.999,4.006,"95_94: 0.969
95_96: 0.98
95_108: 0"
96,68.757,55.326,0.999,4.38,"96_95: 0.98
96_97: 0.968"
97,53.861,31.771,0.999,3.981,"97_84: 0
97_96: 0.968
97_98: 0.972"
98,63.802,50.411,0.999,4.464,"98_97: 0.972
98_99: 0"
99,82.316,31,0.999,3.975,"99_98: 0
99_100: 0.993
99_112: 0.967"
100,73.017,29.718,0.999,4.369,"100_99: 0.993
100_101: 0.987"
101,102.065,9.806,0.999,4.007,"101_88: 0.988
101_100: 0.987
101_102: 0"
102,47.379,15.182,0.999,4.433,"102_101: 0
102_103: 0"
103,82.827,6.779,0.999,3.969,"103_102: 0
103_116: 0"
104,51.596,17.639,0.998,4.404,"104_91: 0
104_105: 0.998"
105,114.909,56.46,0.999,4.075,"105_104: 0.998
105_106: 0.984"
106,76.125,19.831,0.999,4.364,"106_105: 0.984
106_107: 0.984
106_119: 0"
107,85.015,35.985,0.999,4.011,"107_106: 0.984
107_108: 0"
108,26.183,10.984,0.999,4.404,"108_95: 0
108_107: 0
108_109: 0"
109,94.646,32.473,0.999,3.979,"109_108: 0
109_110: 0.983"
110,54.461,13.473,0.999,4.331,"110_109: 0.983
110_111: 0.985
110_123: 0"
111,0,0,1,3.992,"111_110: 0.985
111_112: 0.985"
112,38.421,18.386,1,4.488,"112_99: 0.967
112_111: 0.985
112_113: 0"
113,51.783,16.962,0.5,4.116,"113_112: 0
113_114: 0"
114,66.72,50.595,0.998,4.507,"114_113: 0
114_115: 0
114_127: 0"
115,86.838,37.144,0.999,4.182,"115_114: 0
115_116: 0.991"
116,84.33,80.659,0.999,4.563,"116_103: 0
116_115: 0.991"
117,97.815,24.532,0.997,4.011,"117_118: 0.963
117_130: 0.991"
118,90.671,37.377,0.999,4.119,"118_117: 0.963
118_119: 0"
119,100.603,53.978,0.999,3.945,"119_106: 0
119_118: 0
119_120: 0.976"
120,113.79,40.838,0.999,4.217,"120_119: 0.976
120_121: 0.993"
121,150.183,25.705,0.991,3.902,"121_120: 0.993
121_122: 0
121_134: 0"
122,79.267,3.487,0.999,4.45,"122_121: 0
122_123: 0"
123,36.414,68.655,0.999,3.992,"123_110: 0
123_122: 0
123_124: 0"
124,27.679,9.455,0.996,4.361,"124_123: 0
124_125: 0"
125,54.418,38.488,0.999,4.031,"125_124: 0
125_126: 0
125_138: 0"
126,28.06,24.676,0.993,4.232,"126_125: 0
126_127: 0"
127,84.012,40.747,0.999,3.937,"127_114: 0
127_126: 0
127_128: 0.96"
128,72.295,43.103,0.999,4.331,"128_127: 0.96
128_129: 0"
129,36.003,17.317,0.994,4.021,"129_128: 0
129_142: 0"
130,63.79,23.856,0.999,4.388,"130_117: 0.991
130_131: 0.991"
131,110.318,8.189,0.999,4.054,"131_130: 0.991
131_132: 0.994"
132,68.701,1.257,0.999,4.42,"132_131: 0.994
132_133: 0.973
132_145: 0.99"
133,15.453,25.187,0.998,4.066,"133_132: 0.973
133_134: 0"
134,82.853,13.679,0.999,4.418,"134_121: 0
134_133: 0
134_135: 0"
135,48.547,12.751,0.999,4.065,"135_134: 0
135_136: 0.68"
136,99.102,20.102,0.999,4.536,"136_135: 0.68
136_137: 0
136_149: 0"
137,56.213,18.405,0.999,4.091,"137_136: 0
137_138: 0"
138,27.885,19.835,0.999,4.442,"138_125: 0
138_137: 0
138_139: 0.978"
139,40.618,17.424,0.999,4.13,"139_138: 0.978
139_140: 0.998"
140,33.561,5.394,0.82,4.459,"140_139: 0.998
140_141: 0.998
140_153: 0.985"
141,64.453,28.963,0.999,4.111,"141_140: 0.998
141_142: 0.986"
142,49.85,22.902,0.999,4.615,"142_129: 0
142_141: 0.986"
143,177.426,28.369,0.999,3.999,"143_144: 0.984"
144,56.907,19.034,0.999,4.362,"144_143: 0.984
144_145: 0.982"
145,59.202,63.001,0.999,3.953,"145_132: 0.99
145_144: 0.982
145_146: 0.94"
146,101.927,55.648,0.999,4.333,"146_145: 0.94
146_147: 0"
147,44.523,6.371,0.999,3.994,"147_146: 0
147_148: 0.99"
148,63.683,46.392,1,4.382,"148_147: 0.99
148_149: 0.973"
149,138.511,30.739,0.999,3.953,"149_136: 0
149_148: 0.973
149_150: 0"
150,123.795,9.223,0.998,4.478,"150_149: 0
150_151: 0.94"
151,138.532,32.819,0.999,4.016,"151_150: 0.94
151_152: 0.989"
152,73.49,66.697,0.998,4.414,"152_151: 0.989
152_153: 0.979"
153,132.089,60.608,0.999,3.931,"153_140: 0.985
153_152: 0.979
153_154: 0.99"
154,72.696,11.547,0.999,4.469,"154_153: 0.99
154_155: 0.97"
155,64.48,14.067,0.999,4.043,"155_154: 0.97"
